Id	Metaphor	Paraphrase	Ninguno	al menos 1	Todos
0	we were sinking in an ocean of grass	You are submerged in a high grass field and your feet are buried in grass as if it were water, causing you to sink.			X
1	The jungle lay like a dark stranger staring toward them.	The jungle was a vast, dark, and menacing place, with unknown dangers and secrets, resembling a mysterious figure facing toward them.			X
2	The center of his chest felt like a carved out pumpkin.	His chest feels hollow and empty, with something torn out or missing.		X	
3	I was in a very stormy relationship.	You were in a relationship where there was a lot of arguing and fighting.	X		
4	She laughed hysterically as her hair ran like a loose horse in the glistering moonlight.	Her hair fluttered wildly in the cool night air, shimmering under the glistering moonlight.		X	
5	As I walk through the grey mist that twists my sight.	As I traverse through the murky atmosphere where my vision is distorted.			X
6	The turkey was as dry as the ocean	The turkey was very dry, and it had no moisture whatsoever, just like the ocean shore on a hot summer day.			X
7	I need another car like a bird needs shoes	I do not necessitate another vehicle, similar to a bird not requiring shoes. 			X
8	Out-of-control spending was hurting the economy.	The government was incurring excessive spending, which had adverse effects on the economy.	X		
9	The window panes were shaking as the wind blew through them.	The panes of glass vibrated from the force of the wind passing against them.			X
10	Murkowski is pushing legislation through Congress.	"Sarah Palin's ""Drill, baby, drill"" policy, is being facilitated by Murkowski who is pushing legislation to drill in the Arctic National Wildlife Refuge."	X		
11	The spasm twists her facial muscles.	Her face is contorted into a painful expression, with her muscles contracting and relaxing rapidly.			X
12	The boss exploded when he heard of the resignation of the secretary.	His boss loudly expressed anger and frustration upon learning of the secretary's resignation.		X	
13	It was like a melted popsicle on a warm day.	A melted popsicle on a warm day is a mixture of flavored water and sugar that has undergone a phase change to a liquid state due to heat.			X
14	Life is just a dream in the night.	Life is fleeting and illusory.	X		
15	The patient was as relaxed as a soldier in the trenches.	The patient was tense but remained calm and collected like a soldier temporarily finding peace in the midst of warfare and danger.		X	
16	Julia was an overbearing pizza with condescending toppings, and frankly, I was on a diet.	Julia was a pizza with condescending toppings and I was on a diet.			X
17	It wouldn't always be noticeable, but it was always like a physical pull.	When they spoke of it, it sounded like an attractive force, pulling and demanding their attention.			X
18	The faculty meeting was a breeze	The faculty meeting was efficiently and successfully completed in a timely manner without any issues, complications, or obstacles.		X	
19	You see, nobody pays much attention to fixtures, they're simply there, reading dull bureaucratic reports or researching material like a telephone directory.	People are like fixtures in that they may be present but they are not research subjects and they may be associated with the mundane and boring.	X		
20	The avalanche torpedoed anything standing in its way.	An avalanche destroyed anything in its path as it moved forward.			X
21	Fell , and could not  rise  from weakness ,	A person could not get up because they were weak, perhaps from fatigue or illness.			X
22	Care to offer some evidence that this bald assertion is true?	Please provide an objective and unbiased confirmation that this claim is accurate, with no room for misinterpretation.	X		
23	He was like a jungle predator.	He was a creature that hunted and thrived in the jungle.			X
24	The setting was like a police interrogation room somewhere deep in the basement.	A room that is utilitarian with fluorescent lighting, bare walls, and a heavy table with a single chair on either side for the purpose of an interview or discussion that is serious in nature.			X
25	The house is as pretty as a sunset	The house, comparing favorably with a beautiful sunset, is aesthetically pleasing.			X
26	The employee swallows her anger.	The employee contemplates whether to speak about the feelings of anger induced by an occurrence, and decides to refrain from doing so.		X	
27	My alarm roared at me this morning.	The alarm sounded very loud and disruptive to the morning routine when it went off this morning.		X	
28	The dollar has been dried by inflation.	The value of the dollar has decreased over time, referring to the process of inflation, which 'dried' out the dollar.			X
29	The hidden sun unfurls with light.	Underlying illumination gradually emerges and unfolds outwards. 		X	
30	My soul was a lampless sea and she was the tempest.	My emotions were uncharted waters and she was a storm. 			X
31	But this other world doesn't want to be known, it wants to remain like an underground cult.	This other world resembles a secretive and obscure group, existing in the shadows and keeping its activities and beliefs hidden from the public.		X	
32	A thought forms in my mind and it's like a sun-filled day .	When a thought forms in your mind, you perceive it as a bright and clear day.			X
33	Guskewau , the darkness ,  wrapped  her.	She was engulfed in darkness, as if it had material substance, and it enveloped her like a blanket. 			X
34	The faculty meeting was a war	The faculty meeting was characterized by a prolonged period of intense conflict, where members engaged in verbal battles using forceful rhetoric and argumentative tactics to dominate discussions and defend their positions, resulting in a tense and unproductive atmosphere. 		X	
35	Actions talk even louder than phrases.	Doing something speaks more loudly than mere words.	X		
36	While the gauze stopped the bleeding, it also soaked up the rain, making his every movement resemble a rusty wagon on a bumpy road.	His bandages stopped his bleeding, but at the same time, they absorbed so much rainwater that his every movement made a squeaking noise, much like a rusty wagon on a bumpy road.			X
37	The darted harpoon was lightning in the sea.	A tool for fishing, with pointed tips, was utilized in an aquatic environment, which was also home to lightning.			X
38	You are a chef who prepares onions in a world where crying is like Anthrax exposure.	You chop onions in a world where tears are like Anthrax exposure.			X
39	David is a worm for what he did to Shelia.	David is an organism that is elongated and resembles a cylinder, with a head and mouth, that is capable of movement by consuming food, and that belongs to the phylum Annelida, in reference to the harmful action that David took towards Shelia.		X	
40	The dancer was as graceful as a honking goose.	The dancer was moving in a fluid and elegant manner, resembling a bird gliding through the air with ease and precision.			X
41	We're starting to discover life is like an endless road.	The road is long and lasts indefinitely until the end is reached.			X
42	After a few weeks he’s starting to feel like an outcast.	He is beginning to feel like a person that does not belong to any group or community, or a person that is an outsider.			X
43	On the rock, at her feet, anita was like a discarded wax figurine.	On the rock, at her feet, stood Anita with stiff posture and pale face like a figurine made of wax that was discarded. 			X
44	While it has been confirmed to not be blood the truth is even more like broken skeletons in a closet.	Even though it was confirmed that the substance was not blood, the truth is more aligned with broken bones in a closet.			X
45	The fruits are crystalized in eternity.	The fruits have been preserved/protected and stored forever, remaining untouched and unaltered through time.		X	
46	Consumed by the thoughts that grew in the head.	The thoughts take over and control the person's actions and decisions, much like a plant grows and consumes its host.		X	
47	But sundays, around midnight, leading into the 9-5 workweek, the streets are like an alcoholics liquor cabinet.	At midnight on Sundays, the streets are bustling with people going out for drinks before the workweek begins, resembling an alcoholic's liquor cabinet.			X
48	They sprouted a shudder through my being still.	They caused me to shudder, while I was sitting still.			X
49	In the worst of times we looked at hope  shining in the dark.	When all was seemingly lost and the future seemed bleak, we found solace in the faint glimmer of hope that showed us the way forward.		X	
50	The comedian convulsed the crowd.	They shook violently and unpredictably, moving extensively and swiftly, resulting in laughter and entertainment for the audience.	X		
51	I wanted to get money, but the ATM froze.	I wanted to get some cash from the automated teller machine but it stopped working and would not dispense money.		X	
52	My vision is as clear as stained glass	My vision is sharp and colorful, resembling the aesthetic of the translucent colored panels of glass commonly found in religious buildings, known as stained glass.		X	
53	He had a veneer of civility from his education, but he was like a cornered pit viper	His education gave him a civilized demeanor, but he was aggressive and dangerous, like a venomous snake cornered and ready to strike.			X
54	Her reaction to spelt was dizziness nausea and a strong feeling of foggy brain.	She felt dizzy, nauseous, and experienced confusion or unclear thinking due to spelt. 		X	
55	You just started staring off into space and smiling like Cruella De Vil.	You have recently been acting distant and glancing into the distance with a malignant smile akin to that of Cruella De Vil.			X
56	He pleaded for her forgiveness but Janet was a statue	He begged for her forgiveness but she didn't move an inch, she was immobile. 		X	
57	Whom fate has yoked with a weight of woes.	Whom fate has joined with difficult circumstances.	X		
58	Don't remix my words.	Don't change the meaning of what I say.	X		
59	A golden sun shines high in the sky	A yellow star emits radiant energy from the heavens at a high altitude.		X	
60	The family was as friendly as a pack of wolves	The family was very friendly to each other and to those that they meet, behaving like a group of wolves that has formed a strong bond and pack dynamics despite not being related to each other.			X
61	The news leaked out despite his secrecy.	He shared information publicly despite his efforts to keep it confidential.	X		
62	"I mean, he sits in the front and I sit in the back, but - """"it should still be fine,"" he says, sounding about like a doctor who's just dropped his keys in his patient's open heart cavity."	He sits at the front of the car and I sit at the back which should be fine even though he compares it to a doctor accidentally dropping keys into the open heart cavity of a patient.			X
63	Hillary brushed aside the accusations.	Hillary denied the accusations against her.	X		
64	The atmosphere was like a funeral chamber for some big shot human being.	The atmosphere was dimly lit with a melancholy vibe, akin to a funeral home's interior, seemingly prepared for a noteworthy individual's farewell ceremony.			X
65	Her heart fluttered in her ribs like a butterflys wings .	Her heart contracted and expanded in her ribcage, rapidly and with varying intensity, resembling the flapping of a butterfly's wings.			X
66	The cigarettes snuffed his health.	His health was extinguished, much like a candle, when he smoked cigarettes.			X
67	He wanted to fight, but he was like a pup being held by the scruff.	He intended to fight yet lacked the courage and determination to do so, resembling an immature dog helplessly held by the neck.			X
68	He was anxious like a lion.	His anxiousness propelled him to be courageous and bold like a lion.			X
69	As you approach him, his eyes begin to shed tears that appear like glow-in-the-dark stars.	"His eyes begin to water; a phenomenon that resembles the shedding of glow-in-the-dark paint particles."			X
70	I was swamped with work.	You had a lot of work to do and are describing the feeling of being overwhelmed by it.			X
71	The seeds of change were planted in 1943.	Several changes were initiated in the year 1943, which led to a sequence of further alterations, innovations, or redevelopment thereafter. 	X		
72	The critics paid tribute to this broadway production.	The critics threw flowers at this broadway show's cast members to show their happiness and delight.	X		
73	A ruined wooden shack, perhaps, or something like a thatched roof earthen hut .	A decrepit structure of wooden planks and hay, a makeshift shelter of sorts, blending into the landscape.			X
74	He waited like a leopard poised to pounce	He waited with intense focus and readiness, like an animal prepared to attack its prey. 	X		
75	People were bolting out of the theater.	People were leaving the theater quickly. 			X
76	And his wishes served to  guide  him .	His desires led him through life, providing direction.	X		
77	Forced overtime burns goodwill at an extremely high rate.	Employees working overtime that they did not agree to causes anger and resentment among employees. 	X		
78	I have absolutely no control over my life, and yet I'm like a fish in deep water.	I am in a situation where I have no influence over the events in my life, and yet I am thriving in an environment that I am intimately familiar with.	X		
79	He swept aside my objections.	He moved my objections to the side.	X		
80	When the prophet told you that all your dreams would come true, you were like a million-dollar lottery winner.	When the prophet predicted that all your dreams would come true, it meant that your dreams would be fulfilled and realized, just like the odds of winning a lottery are high and therefore, you, as the winner, would be in a position of good fortune.			X
81	Unfortunately, their ideas about your past life are like drunken bat swings at a dart board.	Their recollection of your previous experiences is haphazard and inaccurate, resembling blindfolded persons attempting to hit a specific target using a dart.			X
82	I embarked on life thirty years ago	You started your life journey 30 years ago. 	X		
83	You'd better keep away from Bill today because he's in a black mood.	Ensure that you maintain an acceptable distance from Bill today as he is portraying indicators of discontent and is likely to exhibit unpleasantness.	X		
84	By the time sixth period photography rolled around, hardy was like a bear with a thorn in its paw.	By the time for sixth period photography arrived, I was hurting like a bear experiencing discomfort due to a thorn in its paw.			X
85	The little raindrops diving together stick upon my coat.	Small droplets of water that fall on my coat, stick.			X
86	Their initial icy glares had turned to restless agitation.	Their initial cold and unfriendly looks have evolved into purposeful movement intended to convey a message.			X
87	The things that wait in between the two are like Scylla and Charybdas.	Between the two, dangerous entities lay in wait, resembling the mythical monsters Scylla and Charybdas.			X
88	The lone possibility swam in front of her like a mirage in the desert.	The possibility was in front of her but seemed far-fetched and elusive like a mirage seems in the desert.			X
89	He felt a wave of anger	there was a surge of strong negative emotion which he experienced and which he navigated by riding it out until the emotion subsided.	X		
90	Now she seemed like a buzzing fly at a picnic	She continuously interrupted the conversation, like a fly buzzing around a picnic and refusing to leave. 			X
91	It seems like he's just really charismatic, until his demands become gradually like a megolamaniac's.	He is charming until his requests are slowly turned into something that is progressively difficult to achieve, resembling the demands of a megolamaniac.			X
92	And now they were leaking all kinds of documents.	They were sharing a variety of documents while simultaneously allowing confidential information to be released.		X	
93	"I picked it up and eyed him warily; his nostrils were like an agitated bull"	"I lifted my head to look at him suspiciously; his nose was flaring like an angry bull's. "			X
94	Her short, blue hair stuck out all over the place, her eyes were like a goth clown .	Her oddly coloured hair was styled in a short, spiky manner and her eyes were heavily lined, resembling a gothic version of a clown.			X
95	He thinks these documents will leak out soon or late.	He thinks these documents will be revealed to the public soon or at a later period.		X	
96	The faculty meeting was a comedy show	The faculty meeting was filled with individuals who engaged in a performative display of wit and humorous intent: resembling the presentation of talents characteristic of a comedy show.			X
97	The place was like a seedy den .	The place had a questionable atmosphere and looked run-down, resembling a shady hangout spot one would typically associate with something questionable. 		X	
98	Her hands are soft as alligator skin.	Her hands have the texture of a soft leather garment worn through weathering rather than one that is freshly tanned.		X	
99	He is grinning like an ape.	He has a facial expression that involves smiling widely and showing his teeth, resembling the grin of a monkey.			X
100	You both have something important to say, but time is like a half-blink.	You each only have a short time to speak before the opportunity is lost, as time moves rapidly like a quick blink of an eye. 	X		
101	This rare bordeaux must be allowed to breathe for at least 2 hours.	"Please allow the wine to sit and ""breathe"" for 2 hours, permitting the wine to oxidize which will help to unlock the flavors and aromas of the wine."	X		
102	She might look ruthless to the human eye, but sean could tell she was full of shame at being so stern with a man like a persistent puppy.	She appears stern and ruthless, but her behavior towards others denotes a sense of deep shame and regret, like when one treats a harmless and eager man like a pup. 			X
103	Look at their smiling faces and their zeal as they try to wash their sins away.	They splash water on their faces with eagerness as a show of cleansing, implying they're trying to wash away a sense of wrongdoing.			X
104	Mrs. Saunders looked at me, her hands shaking, making her rosary beads sound like a wind chime .	Mrs. Saunders' shaking hands made her rosary beads make a tinkling sound resembling the ringing of a wind chime.			X
105	I miss swimming in her eyes and watching her.	I experience a sense of longing for a time when I could move freely and explore, like I did when I swam, in the depths of her gaze and took pleasure in all that I observed.			X
106	All was like a winter morning after it had snowed all night.	All was silent and serene, the ground covered in a blanket of crisp, white snow, sparkling in the morning sunlight after a cold, peaceful night.			X
107	This pillow's as soft as stone	This pillow is as yielding and pliable as a massive slab of hardened earth.			X
108	The wind floats through the leaves.	Leaves are moved by the air.			X
109	You’ve discovered that your body is like bulletproof steel.	When you compare your body to bulletproof steel, it means that you believe your body is robust and impenetrable, just as steel that has been engineered to be impervious to bullets is.			X
110	Her face was calm but she seemed like a coiled spring .	She appeared tranquil, however, there was a tightness in her demeanor, as if she was prepared to spring into action at any moment.	X		
111	my love is a summer day	My love is a period of time characterized by lengthened hours of daylight between the solstice and equinox, which occurs during the warmest period of the year.			X
112	A bright light shines above you, the rest of the room is like a moonless night.	A light shining above you illuminates the area around you, whereas the rest of the room is dimly lit, similar to a moonless night.			X
113	After working two years for the company she was burned out.	the woman worked so hard for two years that she got exhausted and fatigued.	X		
114	Here comes the fool with his foggy brain	A person whose intellect is as hazy as fog, is heading in this direction.		X	
115	this chair is as fragile as a brick	This chair is not fragile at all.		X	
116	My eyes teared up and I could feel my face turning into a bruised tomato.	My eyes are producing excess liquid and my face has begun to swell and redden, resembling a damaged tomato.			X
117	The faculty meeting was a war.	The faculty meeting was a conflict characterized by competition and confrontation with the goal of achieving an objective.		X	
118	It balanced on two asymmetrical legs and had a pair of long arms, but it was like a haphazard scarecrow .	An object that has two legs that are unequal in length and a pair of elongated arms, resembling a haphazard constructed scarecrow.			X
119	You will love the new train  it is a heavenly ride	The new train travels along rails towards the sky, giving passengers the sense of soaring through the air, an exhilarating experience that rivals the sensations of a divine journey toward paradise.			X
120	O Moon your light is failing and now you are just a cold bow	The moon is experiencing darkness and cooling down as nighttime progresses.		X	
121	He sits up on the mattress, looking around like a kid sitting in front of a christmas tree.	He sits atop the bed, surveying his surroundings with wide-eyed anticipation, resembling a child awaiting gifts on Christmas morning.			X
122	I wanted that gift as much as cancer	I wanted that gift with the same desire and intensity that cancer is associated with.			X
123	His eyes met mine like a sunlit wooded glade .	Their eyes stared at mine, unmoving, like a clear patch of sunlight through the trees in a dark forest.			X
124	She was sure she was living this fantasy romance and kept deluding herself	She was certain she was experiencing an actual relationship filled with romantic events and refused to accept the reality that it was all in her imagination. 	X		
125	The future of our transportation system hangs in the balance.	Our transportation system could go either way with little to no influence.		X	
126	There was a phone in his pocket, a secure digital unit like a cigarette lighter.	He carried around a digital device that was durable and fit in the palm of his hand, resembling a cigarette lighter in terms of its shape and size.			X
127	Maybe my heart will be pounding like a worn out clock	My heart is acting like an old clock, noisy and fast, as I anxiously await.			X
128	A breezy disregard for the preservation of the pence was a family trait.	A consistent pattern of neglect concerning the importance of small amounts of money and being careless with them is something that happens in my family. 		X	
129	And his heart within him  fluttered  ,	His heart experienced rapid and irregular contractions and he felt anxious or frightened.		X	
130	I think we should think about the roots of the problem.	Look to the origin of the issue, like a tree's roots sustain the rest of the tree.			X
131	She felt as happy as a recent widow	She felt extremely happy, yet somewhat sad, analogous to how a recent widow would feel. 			X
132	No matter how many times you try you're always like a sloth at a racetrack.	You always move slowly and are inactive, regardless of the situation.	X		
133	It's got a slope-roofed garret ceiling and its windows are like an old man's teeth.	It has a sloping roof that is reminiscent of a garret, with windows that are akin to an elderly person's teeth in that they are often misaligned and yellowed with age. 			X
134	At Southwest Airlines they understand that success rides on friendly service.	Southwest Airlines enables success by providing friendly service on their flights.	X		
135	But we kept like a rooted tree in the middle of that forest blown by a relentless and violent wind.	We remained in a fixed and motionless position like a tree standing tall and enduring through the consistent and persistent gusts of wind in a forest. 			X
136	It was like a monk's cell.	It was a small room that was minimally furnished.		X	
137	He was like a lamb in a field of wolves.	He was defenseless and vulnerable among dangerous and hostile people.	X		
138	I knew there was pain but this was like a sharp dagger.	The pain was severe and acute, resembling the piercing of a dagger. 		X	
139	That the time may  pass  more gayly ,	To make the moments go by with more joy	X		
140	She was the darling of my life.	She was very special to me and I loved her very much.	X		
141	Face it, caine, the whole ashland police department is like a pair of three- week-old gym socks.	Confront the reality, Charlie, the whole Ashland police department is old and should be replaced with a fresher and more energized team, just like a pair of three-week-old gym socks that need to be constantly changed with a new pair. 			X
142	Her interest in butterflies absorbs her completely.	She is very interested in butterflies and that absorbs her time and attention completely.			X
143	The weater in alter botanischer garten was like rain forest.	The weather in the botanical garden is characterized by a high level of precipitation, much like the frequent rain showers that occur in a rain forest.			X
144	The images basked in the brilliance that covered him warm.	The images were exposed to a bright light that made them feel warm.			X
145	Could not  breed  ill-will between them ,	Ensure no one mistreatment results from creating ill will between them.	X		
146	Growing up, people always thought you were like a social pariah.	Individuals viewed you as a person who is shunned by society and not accepted in social situations.		X	
147	The lack of rain had depressed the water level in the reservoir.	The water level in the reservoir had not increased because it had not rained recently.			X
148	This was where she'd first seen him, in this mirrored room, a space like an airplane hangar.	This was the site of their first meeting, in a room with lots of mirrors, a space that resembles a very large airplane hangar.			X
149	I thought all this very pretty and engaging and Steerforth seemed to think so too as we looked after them fading away in the light of a young moon.	The fading away of the pretty and engaging scene in the young moon's light was pleasing to both myself and Steerforth, as we looked on.			X
150	I cannot digest all this information.	All the information available to me is difficult to absorb and understand.		X	
151	The girl was as laidback as a black tie wedding	The girl was relaxed and did not worry about formalities or expectations, similar to how a wedding is still conducted with dignity and reverence even when it is a relaxed black tie event.			X
152	The cancer made her like a dried flower .	The cancer caused her to experience a gradual weakening of her body, akin to the withering and fading of a once-lively flower under the sun, leaving her fragile and devoid of the vitality of youth.			X
153	Panic is sweeping through the streets like an ambitious virus.	Confusion is spreading through the community, with many individuals experiencing an intense desire to take action.		X	
154	The meat was transfigured in a fatty gravy.	The meat was cooked in a fatty sauce.			X
155	Adam did not understand the root of the crisis	Adam did not comprehend the underlying cause of the crisis. 	X		
156	Words are weapons.	verbal expressions have the capacity to harm or hurt others.	X		
157	The government photosynthesized the entire law into a code.	The government took the rules and guidelines set by the law and converted them into a code-based system.		X	
158	He summoned the servant.	He called for the assistance of a person who works for him.	X		
159	It is sad to observe the fruits of ignorance.	It is unfortunate to witness the consequences of not knowing or understanding.	X		
160	She was ready to turn her hand and heart to anything that promised to yield safety.	She decided that she would commit herself to doing whatever was necessary to achieve security.	X		
161	Tim in particular used some spicy language of his own.	Tim used insulting words which were his own way of seasoning his speech with strong language.		X	
162	If you are drowning in a sea of minor problems you cannot focus on what matters.	When you are being overwhelmed by many small issues, it is harder to give attention to what is important.	X		
163	The cigarettes rained on his health.	A plethora of cigarettes were bought and consumed by the man, which ultimately devastated his health and well-being.			X
164	See the sun  far off  a shriveled orange in a sky gone black	A small, dried up orange resting in a dark, blank sky, with the sun relatively far away from the observer. 			X
165	Jane knew these dicsussions were the seeds of a potential conflict.	Jane knew these discussions could potentially cause a conflict to arise later on. 	X		
166	The force decimated the village at night.	There was a destructive event that happened during the nighttime that caused harm to a group of buildings and possibly the people within it. 			X
167	She was like a professional model .	She did modeling work, being paid for her work, as she had the sufficient skills, namely, the looks of a model, as well as the discipline and demeanor of a professional model.			X
168	My lawyer is a shark	My lawyer is aggressive and fierce.		X	
169	A fly landed on the empty , staring vizor , and crawled across it .	An insect with wings landed on top of a helmet and walked across it.		X	
170	I wrestled with this decision for years.	I spent a long time struggling to make this decision, thinking about various options and analyzing the pros and cons before finally coming to a conclusion.	X		
